"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1699.59161497936
"FDW14","OUT017",1283.143325675
"NCN55","OUT010",625.943871237904
"FDQ58","OUT017",2741.18906874712
"FDY38","OUT027",5577.93634459761
"FDH56","OUT046",2189.86944164322
"FDL48","OUT018",845.443155685475
"FDC48","OUT027",1796.37901542906
"FDN33","OUT045",1280.91914259394
"FDA36","OUT017",2506.09709483703
"FDT44","OUT017",1876.36058650964
"FDQ56","OUT045",1568.57632890794
"NCC54","OUT019",720.891016030023
"FDU11","OUT049",2128.45594581674
"DRL59","OUT013",920.083609007359
"FDM24","OUT049",2754.16357524814
"FDI57","OUT045",3937.54105225487
"DRC12","OUT018",2542.32921425442
"NCM42","OUT027",2750.19561877232
"FDA46","OUT010",480.044370108798
"FDA31","OUT013",3213.87733436014
"NCJ31","OUT035",3584.62478644883
"FDG52","OUT046",741.842902402609
"NCL19","OUT019",361.612595152954
"FDS10","OUT035",3097.90194573503
"FDX22","OUT010",527.879288473836
"NCF19","OUT035",771.245169538257
"NCE06","OUT046",2543.42746456153
"DRC27","OUT046",3917.94180181288
"FDE21","OUT035",1926.78635079043
"NCR42","OUT019",139.46133100654
"FDX51","OUT018",2722.60871228135
"NCR06","OUT018",795.5485874138
"FDU31","OUT027",5206.47363331966
"FDU59","OUT017",2431.38766652124
"FDR03","OUT027",5032.12968634856
"FDS49","OUT027",2538.62362437747
"FDD48","OUT010",206.399796767681
"NCF18","OUT017",3113.85657225127
"NCD43","OUT027",2549.9804136004
"NCD54","OUT018",1931.20121814558
"FDY19","OUT010",282.315327488123
"NCY54","OUT017",2516.29693954065
"NCL19","OUT018",2033.53129624125
"FDP23","OUT010",693.473886071455
"FDC26","OUT013",2002.23312156568
"FDR14","OUT010",201.337041431872
"NCS41","OUT035",2791.6568209842
"FDF41","OUT035",3008.14813915707
"FDU34","OUT046",1961.84730931424
"DRH11","OUT046",977.591664451774
"FDM03","OUT013",2192.98224164803
"FDS31","OUT017",2881.2019418462
"FDJ20","OUT017",1785.96154353385
"FDV44","OUT027",4716.38076158899
"FDG02","OUT049",2874.62844373907
"FDA09","OUT013",3881.71386541648
"FDT04","OUT013",563.928146255314
"FDL58","OUT019",604.473165252139
"FDE52","OUT045",1275.67053310952
"FDW12","OUT035",2305.84010878417
"FDL51","OUT017",3490.58126337174
"NCY42","OUT027",3163.61519161243
"FDR07","OUT017",1827.73247501045
"FDN40","OUT045",2545.70839259796
"FDB35","OUT027",2443.2414584956
"FDA22","OUT017",2613.87723060884
"NCL06","OUT046",3842.84082449556
"FDI35","OUT013",3274.58609805636
"NCW42","OUT045",3536.70274879312
"NCX06","OUT049",3201.8026379486
"FDC37","OUT027",2611.98550011477
"FDZ14","OUT018",1783.03156548553
"DRG49","OUT049",4512.24847502889
"NCG06","OUT045",3372.46587614102
"DRC36","OUT045",2196.08436465638
"FDV21","OUT019",366.881841527272
"FDB53","OUT046",2936.53936524741
"DRP47","OUT019",602.048745295687
"FDA14","OUT013",2404.74105344535
"DRC24","OUT035",2923.94881173792
"FDW21","OUT018",1291.64738068296
"NCH29","OUT046",2072.98850816138
"FDU58","OUT013",2874.79423033336
"FDY27","OUT017",2612.00371568458
"FDV56","OUT035",1571.81273447625
"FDT59","OUT046",3912.13429798851
"FDB23","OUT046",3566.4014822043
"FDR49","OUT045",900.026340945221
"FDB03","OUT010",593.320346063579
"FDN39","OUT045",2792.02767720183
"FDX02","OUT027",5312.7550765074
"FDQ16","OUT027",2685.22391491356
"FDU35","OUT018",1562.18533664422
"NCT29","OUT013",1780.71831186572
"FDZ27","OUT046",921.012346301259
"FDN57","OUT017",2664.3720827746
"FDA03","OUT018",1977.16628493493
"FDZ36","OUT045",2931.03784405405
"NCU05","OUT013",1218.6318084966
"FDT39","OUT018",2538.07583345997
"FDK60","OUT017",1727.40568392747
"FDZ25","OUT017",3007.79602792493
"FDG12","OUT046",2359.53328499112
"DRB01","OUT019",540.739569992517
"NCC43","OUT027",5422.36971867485
"FDX13","OUT019",553.4378396002
"FDM22","OUT049",900.893040525852
"FDJ03","OUT027",1800.83510706878
