"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Item_Outlet_Sales"
"1","FDW58",20.75,"Low Fat",0.007564836,"Snack Foods",107.8622,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1857.19524196588
"2","FDW14",8.3,"Regular",0.038427677,"Dairy",87.3198,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1505.78223187923
"3","NCN55",14.6,"Low Fat",0.099574908,"Others",241.7538,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,687.405467268016
"4","FDQ58",7.315,"Low Fat",0.015388393,"Snack Foods",155.034,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2310.06500658734
"5","FDY38",12.5,"Regular",0.118599314,"Dairy",234.23,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5741.45793692998
"6","FDH56",9.8,"Regular",0.063817206,"Fruits and Vegetables",117.1492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2403.07862848606
"7","FDL48",19.35,"Regular",0.082601537,"Baking Goods",50.1034,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,769.337083217868
"8","FDC48",12.5,"Low Fat",0.015782495,"Baking Goods",81.0592,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2115.32717349054
"9","FDN33",6.305,"Regular",0.123365446,"Snack Foods",95.7436,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1516.96562310898
"10","FDA36",5.985,"Low Fat",0.005698435,"Baking Goods",186.8924,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2641.31383533359
"11","FDT44",16.6,"Low Fat",0.103569075,"Fruits and Vegetables",118.3466,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2116.75807244112
"12","FDQ56",6.59,"Low Fat",0.10581147,"Fruits and Vegetables",85.3908,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1464.9590457951
"13","NCC54",12.5,"Low Fat",0.171079215,"Health and Hygiene",240.4196,"OUT019",1985,"Small","Tier 1","Grocery Store",34,725.034842852837
"14","FDU11",4.785,"Low Fat",0.092737611,"Breads",122.3098,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2050.57169001759
"15","DRL59",16.75,"Low Fat",0.021206464,"Hard Drinks",52.0298,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,904.945104668338
"16","FDM24",6.135,"Regular",0.0794507,"Baking Goods",151.6366,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2221.83340848996
"17","FDI57",19.85,"Low Fat",0.05413521,"Seafood",198.7768,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3494.83016139123
