Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1857.195242
FDW14,OUT017,1505.782232
NCN55,OUT010,687.4054673
FDQ58,OUT017,2310.065007
FDY38,OUT027,5741.457937
FDH56,OUT046,2403.078628
FDL48,OUT018,769.3370832
FDC48,OUT027,2115.327173
FDN33,OUT045,1516.965623
FDA36,OUT017,2641.313835
FDT44,OUT017,2116.758072
FDQ56,OUT045,1464.959046
NCC54,OUT019,725.0348429
FDU11,OUT049,2050.57169
DRL59,OUT013,904.9451047
FDM24,OUT049,2221.833408
FDI57,OUT045,3494.830161
DRC12,OUT018,3222.256188
NCM42,OUT027,2414.014994
FDA46,OUT010,457.9629904
FDA31,OUT013,2958.340256
NCJ31,OUT035,4039.951421
FDG52,OUT046,877.0672389
NCL19,OUT019,304.4880902
FDS10,OUT035,3153.754624
FDX22,OUT010,613.7742522
NCF19,OUT035,798.8116712
NCE06,OUT046,2407.504577
DRC27,OUT046,3489.220689
FDE21,OUT035,2295.142925
NCR42,OUT019,167.0477768
FDX51,OUT018,3095.637915
NCR06,OUT018,696.3590979
FDU31,OUT027,5312.930802
FDU59,OUT017,2535.677455
FDR03,OUT027,5209.455059
FDS49,OUT027,2338.194917
FDD48,OUT010,206.9562728
NCF18,OUT017,3065.814956
NCD43,OUT027,2364.295866
NCD54,OUT018,2014.821019
FDY19,OUT010,242.3472963
NCY54,OUT017,2879.517854
NCL19,OUT018,2025.327743
FDP23,OUT010,666.5048411
FDC26,OUT013,1564.853756
FDR14,OUT010,179.9158401
NCS41,OUT035,2936.730986
FDF41,OUT035,4215.181365
FDU34,OUT046,2279.31346
DRH11,OUT046,1046.055374
FDM03,OUT013,1868.632366
FDS31,OUT017,3085.57673
FDJ20,OUT017,2297.465149
FDV44,OUT027,4831.634743
FDG02,OUT049,3040.61108
FDA09,OUT013,3791.535363
FDT04,OUT013,658.4419949
FDL58,OUT019,590.1487595
FDE52,OUT045,1305.733984
FDW12,OUT035,2423.931469
FDL51,OUT017,3779.959508
NCY42,OUT027,2932.493526
FDR07,OUT017,1673.107714
FDN40,OUT045,2230.194149
FDB35,OUT027,2434.849481
FDA22,OUT017,3276.466112
NCL06,OUT046,3221.692088
FDI35,OUT013,3407.938276
NCW42,OUT045,2792.5492
NCX06,OUT049,3289.53533
FDC37,OUT027,2459.760891
FDZ14,OUT018,1688.718048
DRG49,OUT049,3956.423455
NCG06,OUT045,3666.660414
DRC36,OUT045,2883.866144
FDV21,OUT019,385.0578869
FDB53,OUT046,2581.515858
DRP47,OUT019,645.0500394
FDA14,OUT013,2228.171116
DRC24,OUT035,2569.483179
FDW21,OUT018,1443.048938
NCH29,OUT046,2005.941829
FDU58,OUT013,3015.723121
FDY27,OUT017,2647.212478
FDV56,OUT035,1930.675262
FDT59,OUT046,4234.596699
FDB23,OUT046,3632.616307
FDR49,OUT045,744.3268461
FDB03,OUT010,529.8075596
FDN39,OUT045,2676.239795
FDX02,OUT027,5391.612701
FDQ16,OUT027,2622.648563
FDU35,OUT018,1528.720387
NCT29,OUT013,2026.15894
FDZ27,OUT046,965.6626786
FDN57,OUT017,2248.266515
FDA03,OUT018,2063.877067
FDZ36,OUT045,2911.940716
NCU05,OUT013,1281.380918
FDT39,OUT018,2352.59053
FDK60,OUT017,1716.132023
FDZ25,OUT017,3150.395704
FDG12,OUT046,2457.375794
DRB01,OUT019,551.2626581
NCC43,OUT027,5725.487268
FDX13,OUT019,583.0380163
FDM22,OUT049,1001.045716
FDJ03,OUT027,1846.109763
FDU14,OUT018,3852.261893
FDB33,OUT010,432.1142852
FDP27,OUT046,3114.729671
FDO38,OUT010,207.9525592
FDE28,OUT027,5471.619768
FDO27,OUT035,1570.90862
DRL23,OUT027,2438.78898
FDS28,OUT046,1037.874843
FDX24,OUT013,1284.199368
FDZ02,OUT035,1536.69174
FDL46,OUT045,1958.74051
FDS60,OUT027,4187.873165
NCO06,OUT017,559.9543669
FDO16,OUT035,1590.752451
FDC60,OUT049,1595.594295
FDA48,OUT018,2829.542089
FDZ36,OUT027,4341.809918
FDK27,OUT045,1972.233848
FDW23,OUT018,658.3124208
FDM14,OUT018,1398.196746
FDM14,OUT013,1751.475521
FDW60,OUT018,2724.502515
FDE21,OUT013,2138.244382
NCM42,OUT035,1954.814814
FDY59,OUT010,188.4777489
DRI49,OUT049,1319.022049
FDT28,OUT019,438.010894
FDQ22,OUT018,703.5840647
FDR60,OUT049,1238.521165
FDC50,OUT019,295.0812921
FDV24,OUT013,2309.275397
DRF48,OUT010,564.855139
FDQ47,OUT046,959.8503825
DRN36,OUT049,1542.873337
NCY06,OUT035,2241.301986
FDE52,OUT035,1441.544158
NCB54,OUT045,1792.882313
NCF31,OUT035,2525.26034
FDJ08,OUT027,4997.019931
NCC07,OUT017,2094.19534
NCD19,OUT027,1879.615605
FDL46,OUT049,1924.017366
FDM20,OUT045,4150.791064
NCI06,OUT010,460.3024059
DRM11,OUT035,3486.476242
NCH07,OUT018,2509.876228
FDS23,OUT013,1984.101274
FDO49,OUT018,711.3854127
FDS35,OUT049,1085.084056
DRK39,OUT045,1376.928109
DRI39,OUT049,959.7724012
FDV04,OUT017,2191.330514
NCN14,OUT035,2978.932294
FDH08,OUT013,3873.1506
FDS20,OUT046,2684.683642
FDV40,OUT049,1138.157096
FDZ48,OUT010,218.8163125
FDS24,OUT027,2474.221217
FDK44,OUT049,2788.041663
FDS48,OUT045,2291.816112
FDK26,OUT010,552.0147129
FDD23,OUT045,3589.02294
NCH54,OUT017,3006.155679
NCP14,OUT010,270.4691509
FDM60,OUT010,137.7474454
FDV24,OUT017,2272.601235
FDH08,OUT018,3416.336468
FDS12,OUT027,2935.439466
FDR39,OUT027,4692.3046
FDP12,OUT027,1597.580603
DRF60,OUT027,5637.900949
FDC09,OUT035,1881.048339
FDF50,OUT018,2737.324519
FDG28,OUT035,3700.376828
NCE19,OUT017,772.69105
NCM53,OUT010,261.0862914
NCN18,OUT049,1655.19925
FDF32,OUT035,3165.072319
FDF11,OUT013,3540.145383
DRI59,OUT049,3447.523304
NCG54,OUT035,3607.085309
FDM44,OUT046,1670.889117
FDT57,OUT018,2405.700197
FDV24,OUT046,2379.725948
FDI50,OUT019,639.1978913
FDS09,OUT035,907.2308546
NCC31,OUT027,4446.426601
FDQ07,OUT019,496.3156895
FDC22,OUT017,3486.162964
FDZ56,OUT046,2605.579886
FDZ40,OUT019,175.4049568
FDS46,OUT027,2911.829003
DRD24,OUT045,2103.132827
FDV45,OUT017,3261.039561
FDL26,OUT045,2809.001236
FDA56,OUT018,1482.714718
FDN27,OUT046,1796.70211
FDM20,OUT049,3943.86511
FDO16,OUT017,1777.481591
FDL03,OUT035,3151.266262
FDE58,OUT046,2304.81119
FDI02,OUT027,2794.801116
NCC55,OUT019,162.3713384
FDR03,OUT018,3268.645052
FDB14,OUT017,1558.256253
FDR45,OUT013,3766.517021
NCN07,OUT017,2287.71377
FDM51,OUT019,273.3793556
FDT52,OUT027,5888.00104
FDL26,OUT046,2428.421637
NCZ42,OUT046,3004.931744
DRI47,OUT019,436.0977926
FDW40,OUT013,2514.84503
FDN34,OUT046,3226.626535
FDS01,OUT035,3113.642491
NCG55,OUT045,2067.311732
FDC11,OUT035,1573.810817
FDX35,OUT018,3005.154447
NCB06,OUT046,2450.9701
FDR09,OUT019,537.8615396
FDC53,OUT017,1703.822013
FDY45,OUT013,3753.589479
FDA22,OUT010,537.1317197
FDE02,OUT035,1656.730315
FDW21,OUT045,1750.773753
FDV34,OUT046,1341.691921
FDS59,OUT049,2085.042266
NCW17,OUT017,2423.464958
NCK54,OUT046,1854.722308
FDG17,OUT019,621.568048
FDG35,OUT017,3450.948159
FDD08,OUT010,147.0662308
NCO07,OUT017,3814.022489
FDJ10,OUT010,330.4293245
FDW36,OUT017,1785.899409
FDW21,OUT010,259.1620109
FDY19,OUT017,2363.719724
DRE03,OUT013,806.5198772
NCC55,OUT049,811.7200046
FDH52,OUT010,162.9248334
FDO09,OUT017,4409.895933
FDU43,OUT045,3698.709633
FDX09,OUT010,523.6597234
FDH40,OUT019,276.9758143
FDW58,OUT017,1968.996845
FDC47,OUT017,4461.108451
NCR41,OUT035,1690.489892
DRG49,OUT035,3857.218977
FDC52,OUT027,4173.20597
FDY13,OUT046,1349.612935
FDY35,OUT013,923.5076931
FDI35,OUT017,4046.227624
NCU18,OUT049,2349.914603
FDY33,OUT018,2546.974193
FDC15,OUT027,3963.208971
FDU01,OUT049,3413.257901
NCU42,OUT046,2724.069541
NCV29,OUT018,2610.712365
NCY30,OUT017,3114.163276
FDQ46,OUT049,1778.066365
FDG58,OUT027,4126.235251
FDK33,OUT017,4115.242125
NCD07,OUT045,1663.670172
NCX29,OUT027,3595.665831
NCT42,OUT013,2462.352708
DRN59,OUT035,897.6443698
FDI44,OUT035,1399.377714
FDA45,OUT049,2106.157069
FDP31,OUT045,1128.265423
FDY01,OUT046,1993.364845
FDT09,OUT018,1920.235349
DRH03,OUT027,2408.39815
FDA36,OUT018,2602.418709
NCF31,OUT017,2542.006042
FDG14,OUT049,2475.165224
FDG28,OUT027,5861.605769
FDU14,OUT049,3550.53283
FDY47,OUT019,309.6657528
FDI56,OUT049,1334.754691
DRD01,OUT013,917.3429795
FDM22,OUT046,1180.605278
FDH33,OUT013,688.3416563
DRZ24,OUT013,1819.305522
NCQ38,OUT046,1782.219494
FDO16,OUT027,2322.485743
FDU07,OUT027,4184.664962
NCB07,OUT013,3057.677752
FDU48,OUT045,2245.149155
NCM43,OUT045,2815.687506
FDR31,OUT010,384.1830969
DRK49,OUT018,584.42895
NCI30,OUT010,630.9254413
DRD60,OUT017,3074.261662
NCG19,OUT046,3340.945173
FDH12,OUT035,1682.944639
FDM32,OUT035,1654.340506
FDM27,OUT035,2837.725642
NCU53,OUT027,4189.525055
NCQ18,OUT046,1610.114012
FDS10,OUT013,3195.857566
FDB33,OUT027,4530.04446
FDI12,OUT013,1344.50066
NCW42,OUT013,3523.617058
NCC06,OUT018,1817.701991
FDW02,OUT017,2329.701025
NCD43,OUT017,1822.409365
FDM57,OUT018,1133.738521
FDA58,OUT017,4474.967256
FDK56,OUT046,3057.423842
FDP52,OUT045,3895.061812
FDW20,OUT018,1617.617449
FDS52,OUT049,1560.391695
NCT29,OUT018,1704.130411
NCL54,OUT013,2991.640661
FDC05,OUT045,2755.91998
FDF34,OUT035,2933.080742
FDP03,OUT027,2901.023622
FDD32,OUT010,162.8750988
FDZ10,OUT045,2154.468806
FDZ40,OUT035,873.4966309
FDD51,OUT018,584.5966915
NCY30,OUT019,493.0656217
FDP58,OUT017,4089.744167
FDV49,OUT017,4425.943879
FDY24,OUT019,182.2776468
NCO55,OUT017,1600.758068
FDR13,OUT017,2076.569839
FDS51,OUT017,1018.758649
FDP26,OUT045,1361.199707
NCB54,OUT027,3068.038373
FDF32,OUT017,3262.713625
FDN31,OUT018,2610.78027
DRM48,OUT017,698.0794318
FDN20,OUT049,3032.443952
DRL01,OUT046,3468.823848
FDV56,OUT049,1659.139397
DRH13,OUT027,2448.4845
FDA03,OUT017,2488.735176
FDF47,OUT027,4761.107704
FDX32,OUT046,2388.932773
FDX57,OUT049,1850.654303
NCA30,OUT045,2805.37534
FDO49,OUT013,837.1994702
FDL04,OUT019,271.3272862
DRM48,OUT035,761.5272787
FDR16,OUT013,3576.049326
NCC19,OUT018,2708.452384
NCE42,OUT045,2825.530719
FDY24,OUT017,1111.676674
FDH19,OUT049,2568.97674
FDJ46,OUT013,2911.745446
FDN45,OUT010,562.076562
FDY08,OUT035,1906.623083
FDZ37,OUT035,1522.745719
NCT30,OUT045,704.4954834
DRY23,OUT018,565.9088298
NCZ30,OUT018,1700.972749
FDC44,OUT018,1583.053585
FDB45,OUT035,1807.442518
FDY04,OUT013,2498.750562
FDM27,OUT046,2451.372202
FDZ43,OUT017,4614.424443
FDT39,OUT019,412.5727651
NCC06,OUT019,346.4279414
FDL15,OUT027,4215.266584
FDL57,OUT017,4392.191641
FDU08,OUT046,1689.405087
FDK40,OUT017,3865.56523
FDQ12,OUT010,581.2354172
FDS48,OUT017,2481.548297
FDP09,OUT045,3268.567472
FDW21,OUT049,1656.712998
FDY25,OUT035,3237.188771
DRE13,OUT017,1482.830892
FDV43,OUT019,170.0190893
FDD22,OUT045,1754.285484
FDM46,OUT019,300.8585069
NCO30,OUT010,519.2692973
FDM25,OUT046,2578.076342
NCN41,OUT049,2226.677174
FDU24,OUT045,1646.651306
FDZ50,OUT046,3420.774438
FDP45,OUT013,3970.055582
NCM54,OUT045,1988.25553
FDW10,OUT019,485.4015447
FDP20,OUT017,2467.460306
FDK32,OUT046,2572.153084
FDN52,OUT049,1279.815946
FDM58,OUT045,2217.875864
FDZ46,OUT027,2744.037585
NCA18,OUT018,1657.272294
FDD35,OUT046,2180.360763
NCK31,OUT035,956.1521143
FDI40,OUT027,2564.727503
FDT50,OUT019,287.1004945
NCT06,OUT046,2680.433393
FDT31,OUT035,3013.637878
FDT45,OUT049,991.7615828
FDT13,OUT045,3156.523427
FDO50,OUT045,1443.70963
NCU18,OUT010,309.6529556
NCR54,OUT049,3482.555064
NCO18,OUT018,2691.323058
FDU09,OUT045,843.1934572
FDT13,OUT018,2511.96843
FDE09,OUT046,2086.365759
NCK53,OUT019,299.9782635
FDG45,OUT049,3561.22849
DRH15,OUT035,777.6574545
FDO21,OUT019,568.9172772
FDD14,OUT027,5012.438709
FDC09,OUT046,1703.554216
FDH45,OUT027,1777.430265
FDV32,OUT046,1205.300573
FDG12,OUT035,2171.673668
FDS32,OUT013,2202.110752
NCL55,OUT018,3561.479171
DRE01,OUT035,4153.886171
DRE15,OUT049,1251.330807
NCL42,OUT045,3238.751562
FDP31,OUT013,1133.516694
FDN33,OUT018,1313.58534
FDZ59,OUT046,3048.365818
FDE45,OUT010,498.8989721
FDJ07,OUT013,1833.427384
FDQ45,OUT018,2981.124664
FDM33,OUT027,4978.058444
FDO15,OUT010,207.2514184
FDM46,OUT013,1524.684468
FDR03,OUT045,3650.722333
FDY49,OUT018,2196.707388
FDQ60,OUT045,2110.773897
FDW10,OUT049,2534.281601
FDO51,OUT049,919.9001647
FDJ40,OUT018,1390.014366
FDS20,OUT018,2587.320962
FDU45,OUT013,2096.303791
FDV02,OUT035,3345.962973
FDN09,OUT046,3052.672624
NCM55,OUT027,4199.91349
FDN23,OUT018,2378.488178
FDY31,OUT010,459.1651905
FDW03,OUT010,269.4827783
FDD14,OUT046,3145.96901
FDV23,OUT017,2035.592015
DRI03,OUT045,2587.422976
FDN13,OUT035,1650.577562
FDF45,OUT027,2054.51218
FDU46,OUT035,1575.708048
FDB57,OUT049,3475.936562
FDV12,OUT049,1966.020681
FDQ58,OUT013,2537.431628
NCA18,OUT017,2006.626208
FDH52,OUT049,907.2837245
FDM24,OUT018,2251.908893
NCP43,OUT027,4130.991233
NCO18,OUT019,508.1618781
FDM32,OUT017,1432.764667
NCL07,OUT017,765.401878
FDK03,OUT013,5119.078179
FDP59,OUT017,1790.762285
FDQ24,OUT049,3689.006805
FDQ16,OUT018,1347.830615
FDU44,OUT013,2574.504567
FDH28,OUT010,119.543585
FDV28,OUT019,142.7885966
FDM22,OUT045,992.8556019
